2026-09-17T16:44:42Z INFO Logging to /tmp/logs/update_2026-09-17T16-44-42Z.log.
2026-09-17T16:44:42Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-17T16:44:42Z INFO Processing 500 items (48030 already recorded).
2026-09-17T16:44:44Z INFO [1/500] 024ef50f-ac6f-49ea-806b-93ef4b5e8644: 123 datasets; 2.0 s; peak memory 101 MiB.
2026-09-17T16:44:51Z INFO [2/500] 02509ae0-e003-4390-9ad5-bbc66f840a48: 49 datasets; 6.4 s; peak memory 107 MiB.
2026-09-17T16:44:52Z INFO [3/500] 0251d188-8c68-4d63-a312-1613fd7f0bea: 69 datasets; 1.1 s; peak memory 107 MiB.
2026-09-17T16:44:55Z INFO [4/500] 02527521-97e8-4042-b54e-41bde2234281: 229 datasets; 3.7 s; peak memory 107 MiB.
2026-09-17T16:45:04Z INFO [5/500] 02528e5e-47c9-4647-992e-dfbcc869edef: 1289 datasets; 8.7 s; peak memory 145 MiB.
2026-09-17T16:45:05Z INFO [6/500] 0252bb92-94f9-4450-bec6-3d16202344cb: 109 datasets; 1.2 s; peak memory 145 MiB.
2026-09-17T16:45:08Z INFO [7/500] 025311c1-a941-4cdb-9ca0-4e7d74e1acbd: 156 datasets; 2.5 s; peak memory 145 MiB.
2026-09-17T16:45:08Z INFO [8/500] 02537338-fe4e-492d-89ce-d33f06c99a76: 21 datasets; 0.7 s; peak memory 146 MiB.
2026-09-17T16:45:10Z INFO [9/500] 0253b369-5b51-4800-bbd1-045e1db0a2ac: 117 datasets; 1.8 s; peak memory 146 MiB.
2026-09-17T16:45:11Z INFO [10/500] 0253dc7c-5a6c-417a-910a-5f984c374001: 52 datasets; 0.9 s; peak memory 146 MiB.
2026-09-17T16:45:12Z INFO [11/500] 02541d8f-963b-43af-9981-a9e2dfe749a6: 57 datasets; 0.8 s; peak memory 146 MiB.
2026-09-17T16:45:13Z INFO [12/500] 02547517-2be9-4d24-9ded-3f6a99a23365: 51 datasets; 1.1 s; peak memory 146 MiB.
2026-09-17T16:45:14Z INFO [13/500] 02549eff-7d98-4458-92e7-284a56e6657c: 112 datasets; 1.2 s; peak memory 146 MiB.
2026-09-17T16:45:17Z INFO [14/500] 0254cfa7-c12c-434b-9222-d77c386a244c: 190 datasets; 2.9 s; peak memory 146 MiB.
2026-09-17T16:45:18Z INFO [15/500] 0256b433-cfa1-4537-a4a8-904050680cd9: 44 datasets; 0.7 s; peak memory 146 MiB.
2026-09-17T16:45:19Z INFO [16/500] 02572c21-3241-4db4-8594-d373920ab756: 117 datasets; 1.1 s; peak memory 146 MiB.
2026-09-17T16:45:20Z INFO [17/500] 025816cb-ed17-45e6-8e1c-9bd19df73649: 48 datasets; 1.0 s; peak memory 146 MiB.
