2026-09-17T21:12:28Z INFO Logging to /tmp/logs/update_2026-09-17T21-12-28Z.log.
2026-09-17T21:12:28Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-17T21:12:28Z INFO Processing 500 items (48530 already recorded).
2026-09-17T21:12:30Z INFO [1/500] 03584060-6183-4d46-8aef-e03954523b2c: 131 datasets; 1.9 s; peak memory 101 MiB.
2026-09-17T21:12:32Z INFO [2/500] 035963d3-35e8-4a3e-ab35-e777ea8f180b: 49 datasets; 1.6 s; peak memory 101 MiB.
2026-09-17T21:24:35Z INFO [3/500] 0359ab7f-ead0-4d29-89a3-2d7b222ee960: 96 datasets; 722.9 s; peak memory 1068 MiB.
2026-09-17T21:24:37Z INFO [4/500] 035d2ab2-b408-4024-9734-08f4001b6fef: 66 datasets; 2.1 s; peak memory 1068 MiB.
2026-09-17T21:25:07Z INFO [5/500] 035d7e09-4b1e-4e55-aba2-0108c0307bda: 712 datasets; 30.2 s; peak memory 1068 MiB.
2026-09-17T21:25:08Z INFO [6/500] 035e4100-b31d-46ee-8cf3-cffd1b45bb9b: 38 datasets; 1.2 s; peak memory 1068 MiB.
2026-09-17T21:25:10Z INFO [7/500] 035e8698-2903-4745-96d1-cbf452b495a6: 112 datasets; 1.9 s; peak memory 1068 MiB.
2026-09-17T21:25:12Z INFO [8/500] 035ea321-9263-492e-bf39-ac90bbc1e076: 46 datasets; 1.6 s; peak memory 1068 MiB.
2026-09-17T21:25:14Z INFO [9/500] 035f8da8-c282-4763-acd1-e6e254f65d29: 71 datasets; 2.4 s; peak memory 1068 MiB.
2026-09-17T21:25:17Z INFO [10/500] 035fb1c0-567d-4f59-9140-f0d7cdd67882: 71 datasets; 2.5 s; peak memory 1068 MiB.
2026-09-17T21:25:18Z INFO [11/500] 035ff603-49ef-41ce-bf8f-38e39f6f0780: 48 datasets; 1.5 s; peak memory 1068 MiB.
2026-09-17T21:25:22Z INFO [12/500] 036089c0-5bef-4f09-97b1-bc7e5ddaa441: 115 datasets; 3.4 s; peak memory 1068 MiB.
2026-09-17T21:25:23Z INFO [13/500] 0360b7ac-16ea-4852-823d-6525164e418d: 48 datasets; 1.4 s; peak memory 1068 MiB.
2026-09-17T21:25:25Z INFO [14/500] 0360e12b-d6c4-4094-bc19-6a125f427d38: 48 datasets; 1.5 s; peak memory 1068 MiB.
2026-09-17T21:25:28Z INFO [15/500] 0361752b-de7f-4a93-b272-4e35b9987ed0: 80 datasets; 3.2 s; peak memory 1068 MiB.
2026-09-17T21:25:29Z INFO [16/500] 036212a9-0cc2-4b88-af0f-f2ac683244f0: 43 datasets; 1.3 s; peak memory 1068 MiB.
2026-09-17T21:25:31Z INFO [17/500] 036217bf-e4b1-433e-8ca7-f2193e63991a: 48 datasets; 1.4 s; peak memory 1068 MiB.
2026-09-17T21:25:32Z INFO [18/500] 0362a1f6-e2d0-4115-9d80-477aca7e9258: 52 datasets; 1.6 s; peak memory 1068 MiB.
2026-09-17T21:25:34Z INFO [19/500] 0362fbde-a28a-428a-a17c-bfee09afdb6c: 118 datasets; 1.6 s; peak memory 1068 MiB.
2026-09-17T21:25:35Z INFO [20/500] 0363223b-f442-47fe-ba10-461f0d59c477: 117 datasets; 1.7 s; peak memory 1068 MiB.
2026-09-17T21:25:44Z INFO [21/500] 0363be5b-35e7-48c3-99eb-2114cd2f852d: 527 datasets; 8.8 s; peak memory 1068 MiB.
2026-09-17T21:25:46Z INFO [22/500] 03640b7e-7a8d-4421-99d8-3b7ab51d3ff5: 71 datasets; 2.2 s; peak memory 1068 MiB.
2026-09-17T21:27:53Z INFO [23/500] 036479ff-b638-4212-9329-6b5454fdc7a7: 167 datasets; 126.7 s; peak memory 1068 MiB.
2026-09-17T21:28:02Z INFO [24/500] 03649a8b-8d4d-4ae8-93d3-a7de6d91de8e: 608 datasets; 9.2 s; peak memory 1068 MiB.
2026-09-17T21:28:04Z INFO [25/500] 03663897-00d6-4966-8eed-80ffbf7b9ea5: 112 datasets; 1.4 s; peak memory 1068 MiB.
2026-09-17T21:28:05Z INFO [26/500] 0366e129-5f82-43db-8a33-33fea8391cb4: 45 datasets; 1.0 s; peak memory 1068 MiB.
2026-09-17T21:31:18Z INFO [27/500] 0366fa38-44be-4caa-8366-abf46045e308: 99 datasets; 193.8 s; peak memory 1098 MiB.
2026-09-17T21:31:20Z INFO [28/500] 036719e6-8d14-44a8-853b-8b7cd6c94ebd: 66 datasets; 1.9 s; peak memory 1098 MiB.
2026-09-17T21:31:22Z INFO [29/500] 036787b8-1205-4ca6-ae07-fa30d6d9ab41: 48 datasets; 1.4 s; peak memory 1098 MiB.
2026-09-17T21:31:23Z INFO [30/500] 0367d7ed-5bfe-4f60-b1eb-5fa6b7a33595: 69 datasets; 1.5 s; peak memory 1098 MiB.
2026-09-17T21:31:27Z INFO [31/500] 03686970-8ef3-4fe1-b01a-fd5336f55a48: 116 datasets; 3.3 s; peak memory 1098 MiB.
2026-09-17T21:31:35Z INFO [32/500] 036886da-2908-4b4d-acc4-4012b20eb69f: 750 datasets; 8.4 s; peak memory 1098 MiB.
