2026-09-18T16:14:00Z INFO Logging to /tmp/logs/update_2026-09-18T16-14-00Z.log.
2026-09-18T16:14:00Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-18T16:14:00Z INFO Processing 374 items (49526 already recorded).
2026-09-18T16:14:24Z INFO [1/374] 058fefa7-b128-4045-87d7-40b429b60aca: 996 datasets; 23.8 s; peak memory 153 MiB.
2026-09-18T16:14:26Z INFO [2/374] 05905626-ffdc-4356-bc6d-1b3743831f26: 112 datasets; 1.9 s; peak memory 154 MiB.
2026-09-18T16:14:28Z INFO [3/374] 059089ef-799d-4198-a6b6-7f2cc22a04b9: 90 datasets; 2.6 s; peak memory 154 MiB.
2026-09-18T16:14:31Z INFO [4/374] 0590a34a-5a3c-42c3-be96-5071220c0b31: 115 datasets; 2.8 s; peak memory 154 MiB.
2026-09-18T16:14:33Z INFO [5/374] 059202c7-04af-4fea-88b7-2c2253d22e1b: 48 datasets; 1.3 s; peak memory 154 MiB.
2026-09-18T16:14:34Z INFO [6/374] 0592d28c-9eba-4113-8b6c-9a936557c21a: 48 datasets; 1.2 s; peak memory 155 MiB.
2026-09-18T16:14:35Z INFO [7/374] 0592ecef-0a70-48fa-b6a5-b6f3408585a4: 48 datasets; 1.3 s; peak memory 155 MiB.
2026-09-18T16:14:39Z INFO [8/374] 0592f8d0-6fc0-4504-a97d-a4dbc5c35a79: 99 datasets; 3.4 s; peak memory 155 MiB.
2026-09-18T16:14:40Z INFO [9/374] 05935ceb-44b7-4cad-b5dd-a53265b9e5e2: 48 datasets; 1.3 s; peak memory 155 MiB.
2026-09-18T16:14:50Z INFO [10/374] 0593b853-d93c-467d-8ad3-586ba6838f93: 817 datasets; 10.5 s; peak memory 156 MiB.
2026-09-18T16:14:52Z INFO [11/374] 0593c7ec-419d-42f0-97a2-f7ae26bd0e9b: 66 datasets; 1.8 s; peak memory 156 MiB.
2026-09-18T16:14:54Z INFO [12/374] 05942bb0-486d-45bd-816f-2330ebe172b6: 112 datasets; 2.0 s; peak memory 156 MiB.
2026-09-18T16:14:55Z INFO [13/374] 05949dbb-a3a7-407f-97b7-16904ed9acf0: 48 datasets; 1.3 s; peak memory 156 MiB.
2026-09-18T16:14:57Z INFO [14/374] 05951d4d-8ab8-4368-bb4d-b529942fca6f: 48 datasets; 1.2 s; peak memory 156 MiB.
2026-09-18T16:15:48Z INFO [15/374] 0595737a-c45e-4e6f-ad93-b63e93df6551: 52 datasets; 51.6 s; peak memory 201 MiB.
2026-09-18T16:15:49Z INFO [16/374] 05960e92-e35d-47f8-a9d4-b278ecc14a42: 48 datasets; 1.2 s; peak memory 201 MiB.
2026-09-18T16:15:51Z INFO [17/374] 05963fc2-b683-4891-9323-529ece8e0087: 117 datasets; 1.7 s; peak memory 201 MiB.
2026-09-18T16:15:54Z INFO [18/374] 05967496-30d0-4968-bc09-fb9e69884b4a: 119 datasets; 2.9 s; peak memory 201 MiB.
2026-09-18T16:15:57Z INFO [19/374] 0596879b-8669-4735-80d8-a7dd67b7d7bd: 150 datasets; 3.1 s; peak memory 201 MiB.
2026-09-18T16:15:58Z INFO [20/374] 05968f6e-1635-4d81-9544-e53a1bd77f25: 46 datasets; 1.0 s; peak memory 201 MiB.
2026-09-18T16:16:15Z INFO [21/374] 0596ed64-f930-44b4-b7ba-2a6204683f9c: 5683 datasets; 16.5 s; peak memory 201 MiB.
2026-09-18T16:16:16Z INFO [22/374] 059722f8-2154-4ce9-a7ef-f3d463cda8b5: 110 datasets; 1.7 s; peak memory 201 MiB.
2026-09-18T16:16:34Z INFO [23/374] 05973403-95ec-412e-b34e-aae27d3e5ff5: 1565 datasets; 17.4 s; peak memory 201 MiB.
2026-09-18T16:16:35Z INFO [24/374] 05977b12-9625-482c-957d-cb83dadfaf08: 69 datasets; 1.8 s; peak memory 201 MiB.
