2026-09-19T10:43:10Z INFO Logging to /tmp/logs/update_2026-09-19T10-43-10Z.log.
2026-09-19T10:43:10Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-19T10:43:10Z INFO Processing 374 items (50269 already recorded).
2026-09-19T10:43:15Z INFO [1/374] 049761b4-6a88-42dc-98a0-5a8be7ba6bd9: 104 datasets; 5.5 s; peak memory 106 MiB.
2026-09-19T10:43:16Z INFO [2/374] 071532d9-c694-4c9f-bb78-ab2f78cc4e66: 117 datasets; 0.8 s; peak memory 107 MiB.
2026-09-19T10:45:21Z INFO [3/374] 0715b077-c584-4b11-a0fe-0c00f10c9b55: 15353 datasets; 124.5 s; peak memory 521 MiB.
2026-09-19T10:45:21Z INFO [4/374] 0715b3a9-d579-4fe1-9fb2-782eb531c812: 48 datasets; 0.6 s; peak memory 521 MiB.
2026-09-19T10:45:22Z INFO [5/374] 0715d982-92b5-4d1d-a3fc-2d3e8508dc95: 53 datasets; 0.5 s; peak memory 521 MiB.
2026-09-19T10:45:23Z INFO [6/374] 0715db53-477d-4ff6-86db-c0b800ca74ba: 118 datasets; 0.9 s; peak memory 521 MiB.
2026-09-19T10:45:23Z INFO [7/374] 07178dd5-cb9f-4cb6-914f-7a9426f386f5: 48 datasets; 0.6 s; peak memory 521 MiB.
2026-09-19T10:45:31Z INFO [8/374] 07179e04-df54-4929-b0db-0485903a2eed: 1534 datasets; 7.8 s; peak memory 521 MiB.
2026-09-19T10:45:32Z INFO [9/374] 0717d38e-6908-4420-82f2-407333a224e7: 117 datasets; 0.7 s; peak memory 521 MiB.
2026-09-19T10:45:38Z INFO [10/374] 0717f896-750e-45a5-9e39-243a50fc9676: 752 datasets; 6.2 s; peak memory 521 MiB.
2026-09-19T10:45:39Z INFO [11/374] 07195b05-571c-4565-aee7-5b38736c4178: 48 datasets; 0.7 s; peak memory 521 MiB.
2026-09-19T10:45:39Z INFO [12/374] 07196402-94e5-48f1-8f6d-152bd9a088b7: 117 datasets; 0.6 s; peak memory 521 MiB.
2026-09-19T10:45:40Z INFO [13/374] 071966ba-39d0-4123-8025-bc3ff2f0842f: 48 datasets; 0.7 s; peak memory 522 MiB.
2026-09-19T10:45:45Z INFO [14/374] 071981bc-3d1d-4875-94f2-d4f8f7da46de: 614 datasets; 5.2 s; peak memory 522 MiB.
2026-09-19T10:45:46Z INFO [15/374] 0719b2ab-e5e1-4e5c-9422-d1bb724010f1: 118 datasets; 0.6 s; peak memory 522 MiB.
2026-09-19T10:45:47Z INFO [16/374] 071a0dd7-8a8d-484f-b569-cd47ac4893f3: 49 datasets; 0.7 s; peak memory 522 MiB.
