2026-09-21T12:33:45Z INFO Logging to /tmp/logs/update_2026-09-21T12-33-45Z.log.
2026-09-21T12:33:45Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-21T12:33:45Z INFO Processing 367 items (52499 already recorded).
2026-09-21T12:33:51Z INFO [1/367] 0bbcea62-4814-424c-8235-a91142dfcfec: 314 datasets; 6.5 s; peak memory 107 MiB.
2026-09-21T12:33:53Z INFO [2/367] 0bbd1683-6581-49ac-82e1-c84eab485531: 110 datasets; 2.2 s; peak memory 107 MiB.
2026-09-21T12:33:55Z INFO [3/367] 0bbd6962-0ba4-4a61-94b4-161a3d4a5efb: 116 datasets; 1.8 s; peak memory 108 MiB.
2026-09-21T12:33:57Z INFO [4/367] 0bbf052e-3878-46a3-a14d-57df85586f72: 117 datasets; 1.8 s; peak memory 108 MiB.
2026-09-21T12:34:10Z INFO [5/367] 0bbf8c8e-a200-4f9b-9edc-3b12a6033178: 615 datasets; 13.3 s; peak memory 129 MiB.
2026-09-21T12:35:06Z INFO [6/367] 0bc1a430-05a1-4a8a-a541-d5726602326c: 52 datasets; 55.7 s; peak memory 197 MiB.
2026-09-21T12:35:09Z INFO [7/367] 0bc1d8d2-92ff-4324-86b8-2699a1980ad0: 66 datasets; 2.6 s; peak memory 197 MiB.
2026-09-21T12:35:11Z INFO [8/367] 0bc20038-2aa0-4089-8940-6b4d988457ab: 51 datasets; 1.9 s; peak memory 197 MiB.
2026-09-21T12:35:12Z INFO [9/367] 0bc34c6e-b471-4c8c-9e72-72ec064b4a37: 48 datasets; 1.4 s; peak memory 197 MiB.
2026-09-21T12:35:20Z INFO [10/367] 0bc3cd29-cbe4-4c8b-8319-328890f73918: 537 datasets; 7.8 s; peak memory 197 MiB.
2026-09-21T12:35:33Z INFO [11/367] 0bc52c99-bf98-47d6-a856-e05133a2751d: 108 datasets; 13.5 s; peak memory 197 MiB.
2026-09-21T12:35:36Z INFO [12/367] 0bc5a608-7e35-4511-82d5-c333916c3a32: 112 datasets; 2.3 s; peak memory 197 MiB.
2026-09-21T12:35:37Z INFO [13/367] 0bc5f9f4-c30e-454e-9cb1-bbf8aed651c9: 48 datasets; 1.6 s; peak memory 197 MiB.
2026-09-21T12:35:38Z INFO [14/367] 0bc6ed24-1620-4f22-bf77-0e8af77f2a7d: 46 datasets; 1.3 s; peak memory 197 MiB.
2026-09-21T12:35:40Z INFO [15/367] 0bc71404-b447-40c2-a6cf-200646978f6c: 48 datasets; 1.5 s; peak memory 197 MiB.
2026-09-21T12:35:41Z INFO [16/367] 0bc802cf-682e-4859-abc5-f3cf159b3c42: 48 datasets; 1.5 s; peak memory 197 MiB.
2026-09-21T12:35:43Z INFO [17/367] 0bc868d2-7e80-44be-b450-8d6acbfa1fe0: 46 datasets; 1.3 s; peak memory 197 MiB.
2026-09-21T12:35:45Z INFO [18/367] 0bc9d397-c0d9-45be-a3ed-cc668becca7c: 62 datasets; 2.1 s; peak memory 197 MiB.
2026-09-21T12:35:47Z INFO [19/367] 0bcabc6b-7110-49e5-bf4a-5fcf279f27c3: 69 datasets; 2.0 s; peak memory 197 MiB.
2026-09-21T12:35:51Z INFO [20/367] 0bcc3ff1-3109-4980-a980-93244175dc86: 90 datasets; 4.5 s; peak memory 197 MiB.
2026-09-21T12:35:53Z INFO [21/367] 0bcc781d-1da7-45bf-b8e2-26028deb4a22: 68 datasets; 1.9 s; peak memory 197 MiB.
2026-09-21T12:35:57Z INFO [22/367] 0bcdf64b-04d1-4031-ba0a-52115cfba457: 115 datasets; 3.5 s; peak memory 197 MiB.
