2026-09-21T19:13:55Z INFO Logging to /tmp/logs/update_2026-09-21T19-13-55Z.log.
2026-09-21T19:13:55Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-21T19:13:55Z INFO Processing 356 items (52866 already recorded).
2026-09-21T19:13:57Z INFO [1/356] 0c83f718-2af5-4943-9ed6-4fa50b7ace14: 57 datasets; 1.5 s; peak memory 99 MiB.
2026-09-21T19:14:00Z INFO [2/356] 0c8427fa-1b57-4f71-8fb4-aa7cc45ceb01: 114 datasets; 3.2 s; peak memory 102 MiB.
2026-09-21T19:14:02Z INFO [3/356] 0c844f18-c189-4991-8439-e55942bd52be: 71 datasets; 2.2 s; peak memory 102 MiB.
2026-09-21T19:14:04Z INFO [4/356] 0c8459e6-4109-4d57-b5c3-64fba140fab7: 33 datasets; 1.5 s; peak memory 103 MiB.
2026-09-21T19:14:06Z INFO [5/356] 0c84cf1e-9c0f-444f-9bc1-347150dda800: 117 datasets; 1.7 s; peak memory 105 MiB.
2026-09-21T19:14:09Z INFO [6/356] 0c854ba5-09a2-4c5a-bc58-413036720859: 115 datasets; 3.0 s; peak memory 106 MiB.
2026-09-21T19:14:11Z INFO [7/356] 0c86349f-887a-424a-8ba5-7829815a85aa: 66 datasets; 2.3 s; peak memory 107 MiB.
2026-09-21T19:14:37Z INFO [8/356] 0c86755b-87f6-4518-9601-f4e329d59218: 873 datasets; 26.2 s; peak memory 157 MiB.
2026-09-21T19:14:40Z INFO [9/356] 0c86e473-9c4b-4fbf-9acd-58fc1348657a: 118 datasets; 2.6 s; peak memory 157 MiB.
2026-09-21T19:14:42Z INFO [10/356] 0c875f1f-5618-4f2d-afe0-a269189dc0bc: 66 datasets; 2.0 s; peak memory 157 MiB.
2026-09-21T19:14:43Z INFO [11/356] 0c882275-f543-4aea-93e9-9ab41b8200e0: 112 datasets; 1.5 s; peak memory 157 MiB.
2026-09-21T19:14:45Z INFO [12/356] 0c88fcf2-7a15-494f-9081-75dfab4547bb: 112 datasets; 1.9 s; peak memory 157 MiB.
2026-09-21T19:14:47Z INFO [13/356] 0c894799-e5a1-4add-8ab1-0a5bd3f8dc9a: 48 datasets; 1.5 s; peak memory 157 MiB.
2026-09-21T19:14:48Z INFO [14/356] 0c899809-a85b-432b-97b5-651525cc83c5: 48 datasets; 1.4 s; peak memory 157 MiB.
2026-09-21T19:14:50Z INFO [15/356] 0c8b097d-0e80-4d09-b1f6-cdd3f7f98684: 93 datasets; 1.7 s; peak memory 157 MiB.
2026-09-21T19:14:51Z INFO [16/356] 0c8b3d92-3091-4d3b-af1b-71d784e97e81: 114 datasets; 1.7 s; peak memory 157 MiB.
2026-09-21T19:14:59Z INFO [17/356] 0c8b486f-53ad-4ece-8bd1-074dcae05272: 53 datasets; 7.9 s; peak memory 157 MiB.
2026-09-21T19:15:01Z INFO [18/356] 0c8c083f-82c1-4b7c-8d4b-02bc2e7e679b: 112 datasets; 2.0 s; peak memory 158 MiB.
