2026-09-22T16:43:52Z INFO Logging to /tmp/logs/update_2026-09-22T16-43-52Z.log.
2026-09-22T16:43:52Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-22T16:43:52Z INFO Processing 371 items (53955 already recorded).
2026-09-22T16:43:54Z INFO [1/371] 0ebf383b-d267-4424-850c-41c6769094f4: 117 datasets; 2.1 s; peak memory 101 MiB.
2026-09-22T16:43:58Z INFO [2/371] 0ebffe25-9709-4262-b719-d36872a03379: 95 datasets; 3.4 s; peak memory 102 MiB.
2026-09-22T16:44:01Z INFO [3/371] 0ec05ffe-179a-4743-9081-df4e3428149e: 94 datasets; 3.2 s; peak memory 104 MiB.
2026-09-22T16:44:02Z INFO [4/371] 0ec0bf21-c9ba-41fc-b26c-4ba6907c4773: 46 datasets; 1.1 s; peak memory 104 MiB.
2026-09-22T16:44:26Z INFO [5/371] 0ec195b1-d277-4328-b315-f734c3319b4c: 48 datasets; 23.7 s; peak memory 123 MiB.
2026-09-22T16:48:32Z INFO [6/371] 0ec20f3f-21f9-4f9f-8922-ed91d1cc7fe3: 99 datasets; 246.8 s; peak memory 1151 MiB.
2026-09-22T16:48:35Z INFO [7/371] 0ec2c93f-f6df-42c1-ac3f-0137187d91e7: 112 datasets; 2.2 s; peak memory 1151 MiB.
2026-09-22T16:50:45Z INFO [8/371] 0ec34ace-8043-4e3d-a99f-cb5ff2f4643d: 260 datasets; 130.1 s; peak memory 1151 MiB.
2026-09-22T16:50:46Z INFO [9/371] 0ec45705-1047-447f-a162-1b7240fe8340: 48 datasets; 1.4 s; peak memory 1151 MiB.
2026-09-22T16:50:48Z INFO [10/371] 0ec46f52-c444-4de8-886f-f6e4ed61b764: 48 datasets; 1.4 s; peak memory 1151 MiB.
2026-09-22T16:50:49Z INFO [11/371] 0ec4c134-704e-453f-9420-9e95470e1b1a: 71 datasets; 2.0 s; peak memory 1151 MiB.
2026-09-22T16:50:51Z INFO [12/371] 0ec4f71d-d190-49fc-a03e-d1c39490c9a6: 118 datasets; 1.9 s; peak memory 1151 MiB.
2026-09-22T16:51:08Z INFO [13/371] 0ec53767-5b7a-4761-bdef-33d109129822: 1332 datasets; 16.8 s; peak memory 1151 MiB.
2026-09-22T16:51:35Z INFO [14/371] 0ec5b4bf-9baa-44a4-8ce8-fe661f53522e: 48 datasets; 26.7 s; peak memory 1151 MiB.
2026-09-22T16:51:37Z INFO [15/371] 0ec5d952-d4a6-4d48-9d25-e3185a62632a: 117 datasets; 1.8 s; peak memory 1151 MiB.
2026-09-22T16:51:39Z INFO [16/371] 0ec5fe73-2f37-4325-b42b-29d2b12350b9: 62 datasets; 1.7 s; peak memory 1152 MiB.
2026-09-22T16:53:56Z INFO [17/371] 0ec659da-4d78-49f7-9cb8-ddbca02b94fc: 167 datasets; 137.0 s; peak memory 1152 MiB.
2026-09-22T16:53:57Z INFO [18/371] 0ec6a982-b65d-4877-9eae-7fec0fa1e3e4: 48 datasets; 1.4 s; peak memory 1152 MiB.
2026-09-22T16:54:17Z INFO [19/371] 0ec6c986-d74d-495f-8a5b-a4584a2f4112: 1988 datasets; 20.0 s; peak memory 1152 MiB.
2026-09-22T16:54:19Z INFO [20/371] 0ec7ac53-c6d5-4c3b-8b73-9afbabb5c2a3: 66 datasets; 2.1 s; peak memory 1152 MiB.
2026-09-22T16:54:20Z INFO [21/371] 0ec85762-ab27-4c2e-bc15-83e7c7e2b8ab: 62 datasets; 1.2 s; peak memory 1153 MiB.
2026-09-22T16:54:22Z INFO [22/371] 0ec8ccb0-102e-48f0-bcac-8edfc5062d67: 116 datasets; 1.6 s; peak memory 1153 MiB.
2026-09-22T16:54:24Z INFO [23/371] 0ec8f843-982d-47ef-83d8-e70c744a091b: 116 datasets; 1.7 s; peak memory 1153 MiB.
