2026-09-23T16:38:33Z INFO Logging to /tmp/logs/update_2026-09-23T16-38-33Z.log.
2026-09-23T16:38:33Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-23T16:38:33Z INFO Processing 369 items (55049 already recorded).
2026-09-23T16:38:34Z INFO [1/369] 1109ab42-2cf6-4645-85f1-1df9906d80e2: 48 datasets; 1.1 s; peak memory 99 MiB.
2026-09-23T16:38:40Z INFO [2/369] 110ad363-48d9-4bdf-bb32-d28a164d76fa: 1053 datasets; 5.3 s; peak memory 125 MiB.
2026-09-23T16:38:44Z INFO [3/369] 110ae4a0-1448-4832-9da4-88d08b46785e: 229 datasets; 3.9 s; peak memory 125 MiB.
2026-09-23T16:38:45Z INFO [4/369] 110bfa1d-2ec8-45fe-aab1-3bf68e892548: 110 datasets; 1.0 s; peak memory 126 MiB.
2026-09-23T16:38:46Z INFO [5/369] 110caba3-417f-4598-b626-8daab050bd79: 77 datasets; 1.4 s; peak memory 126 MiB.
2026-09-23T16:38:47Z INFO [6/369] 110cd4f5-66ae-41ec-95d3-ced960e574ce: 117 datasets; 1.0 s; peak memory 126 MiB.
2026-09-23T16:38:48Z INFO [7/369] 110e221b-b718-49e1-bb7a-1001067dac3b: 66 datasets; 1.1 s; peak memory 126 MiB.
2026-09-23T16:38:49Z INFO [8/369] 110f80c9-3acf-4ea1-a475-22c03d8fcd01: 117 datasets; 0.9 s; peak memory 127 MiB.
2026-09-23T16:38:53Z INFO [9/369] 110fdbb4-f11b-42b7-9c99-2bace46b52a1: 53 datasets; 3.6 s; peak memory 127 MiB.
2026-09-23T16:38:53Z INFO [10/369] 11104d68-9759-49ae-bb0b-f415c9b891de: 52 datasets; 0.8 s; peak memory 127 MiB.
2026-09-23T16:38:54Z INFO [11/369] 1110a489-3e46-4b0c-b5e4-6bd70f314114: 52 datasets; 0.6 s; peak memory 127 MiB.
2026-09-23T16:38:55Z INFO [12/369] 11112029-3b69-4810-ad13-a2a26d7e93fc: 59 datasets; 0.9 s; peak memory 127 MiB.
2026-09-23T16:38:56Z INFO [13/369] 11119d72-61fa-4eca-9451-39d02ea3b11d: 112 datasets; 0.9 s; peak memory 127 MiB.
2026-09-23T16:38:58Z INFO [14/369] 11120944-3fce-409e-ad6c-d9337693b8fd: 408 datasets; 2.6 s; peak memory 127 MiB.
2026-09-23T16:39:00Z INFO [15/369] 11127f73-740e-486d-b563-191656573fef: 51 datasets; 1.9 s; peak memory 127 MiB.
2026-09-23T16:39:01Z INFO [16/369] 1112f1d2-2d9a-4bdf-ae88-44b8bcf2ab9c: 64 datasets; 1.0 s; peak memory 127 MiB.
2026-09-23T16:39:02Z INFO [17/369] 11131a0a-47b6-427c-8f2e-dbc021e9a892: 48 datasets; 0.7 s; peak memory 127 MiB.
2026-09-23T16:39:03Z INFO [18/369] 1113823e-92c3-451e-b1fb-8efa9e6dd449: 48 datasets; 0.7 s; peak memory 127 MiB.
2026-09-23T16:39:03Z INFO [19/369] 11138c0c-a5a9-4480-8bd1-4aeb384a7c5e: 41 datasets; 0.7 s; peak memory 127 MiB.
2026-09-23T16:39:04Z INFO [20/369] 11143276-b466-4ec0-97ae-bcc07c6ae750: 117 datasets; 0.8 s; peak memory 128 MiB.
2026-09-23T16:39:05Z INFO [21/369] 11150156-d82f-4f90-8069-621782ece431: 71 datasets; 1.0 s; peak memory 128 MiB.
2026-09-23T16:39:06Z INFO [22/369] 1115a797-ddc1-4976-9332-fc9da35d5c69: 45 datasets; 0.6 s; peak memory 128 MiB.
2026-09-23T16:39:06Z INFO [23/369] 1116066b-b03e-4d5c-8e1b-2411aa92e9f9: 46 datasets; 0.6 s; peak memory 128 MiB.
2026-09-23T16:39:07Z INFO [24/369] 111635df-d933-44a9-801d-efc6f9043ebb: 48 datasets; 0.7 s; peak memory 128 MiB.
2026-09-23T16:39:08Z INFO [25/369] 111659d5-517b-4131-bf0c-11d7f4922320: 48 datasets; 0.7 s; peak memory 128 MiB.
2026-09-23T16:39:08Z INFO [26/369] 1116fa33-78af-42cb-aaf9-eaff80d299b3: 116 datasets; 0.7 s; peak memory 128 MiB.
2026-09-23T16:40:55Z INFO [27/369] 11171e59-7696-4d27-8827-0bbc18e7a0f9: 62 datasets; 106.4 s; peak memory 256 MiB.
2026-09-23T16:40:55Z INFO [28/369] 11175479-c503-40d2-8486-55167daa2c44: 39 datasets; 0.7 s; peak memory 256 MiB.
2026-09-23T16:42:49Z INFO [29/369] 1118c407-0c5c-4c97-b34f-63b99fcc990d: 167 datasets; 114.0 s; peak memory 267 MiB.
2026-09-23T16:42:50Z INFO [30/369] 11192c53-2b7f-48c2-8ffc-e008bc9c9235: 48 datasets; 0.8 s; peak memory 267 MiB.
2026-09-23T16:42:51Z INFO [31/369] 11193579-9ee6-4205-aea9-43ebf93ca22a: 48 datasets; 0.7 s; peak memory 267 MiB.
2026-09-23T16:42:52Z INFO [32/369] 111a18a4-f912-40cf-9060-46b5e653bbb1: 48 datasets; 0.9 s; peak memory 267 MiB.
2026-09-23T16:42:54Z INFO [33/369] 111b7e53-c123-402a-a3b6-707b5973a960: 115 datasets; 1.9 s; peak memory 267 MiB.
2026-09-23T16:43:03Z INFO [34/369] 111bb4fc-f5ea-40a0-a0aa-e6617b0a676d: 1277 datasets; 8.8 s; peak memory 267 MiB.
2026-09-23T16:43:03Z INFO [35/369] 111bb9d6-cc32-47c7-868f-9f71d2eab7bf: 44 datasets; 0.6 s; peak memory 267 MiB.
2026-09-23T16:43:04Z INFO [36/369] 111c1e6c-e1aa-4e4f-8852-88a3d3c14d93: 48 datasets; 0.7 s; peak memory 267 MiB.
2026-09-23T16:43:06Z INFO [37/369] 111cd801-b4e6-43ed-bfd3-aa3a48cc2481: 98 datasets; 1.7 s; peak memory 267 MiB.
2026-09-23T16:43:06Z INFO [38/369] 111dec7d-fd60-4f36-a1d3-f2bd60df74f2: 62 datasets; 0.6 s; peak memory 267 MiB.
2026-09-23T16:43:07Z INFO [39/369] 111e2ffd-9c88-4c2d-955d-55fcd198c1c4: 49 datasets; 0.8 s; peak memory 267 MiB.
2026-09-23T16:43:08Z INFO [40/369] 111e8f49-9684-4706-9a03-2a9afea4f298: 42 datasets; 0.7 s; peak memory 267 MiB.
2026-09-23T16:43:08Z INFO [41/369] 111eafa4-477c-40b1-aa86-ac56175ada6f: 84 datasets; 0.8 s; peak memory 267 MiB.
2026-09-23T16:43:09Z INFO [42/369] 111ee66b-d724-44c0-a6c1-97b67bfa6532: 48 datasets; 0.8 s; peak memory 267 MiB.
2026-09-23T16:43:10Z INFO [43/369] 111fd7a6-b2e4-42a8-b86b-b6475e660c0a: 116 datasets; 0.7 s; peak memory 267 MiB.
2026-09-23T16:43:11Z INFO [44/369] 11223744-df8a-493f-8087-a6e19034e717: 84 datasets; 0.7 s; peak memory 267 MiB.
2026-09-23T16:43:12Z INFO [45/369] 1122423f-2c69-4ecd-acaf-eaf3469937ae: 275 datasets; 0.9 s; peak memory 267 MiB.
2026-09-23T16:43:21Z INFO [46/369] 1122e627-ee5f-4e6e-823c-f9bd66b2a4fa: 443 datasets; 9.2 s; peak memory 267 MiB.
2026-09-23T16:43:21Z INFO [47/369] 11238af0-7a0d-47b0-9ac1-136eeb5e711b: 48 datasets; 0.6 s; peak memory 267 MiB.
2026-09-23T16:43:22Z INFO [48/369] 11248fec-4279-4545-b7df-99e1bd75cfac: 70 datasets; 1.0 s; peak memory 267 MiB.
2026-09-23T16:43:23Z INFO [49/369] 1125cab0-dfbd-4d26-8bf5-72f9ebade82d: 55 datasets; 0.5 s; peak memory 267 MiB.
2026-09-23T16:43:26Z INFO [50/369] 112615da-c4a5-4c4a-b8df-8616bb7896f7: 38 datasets; 3.0 s; peak memory 267 MiB.
2026-09-23T16:43:26Z INFO [50/369] 112615da-c4a5-4c4a-b8df-8616bb7896f7: checkpointed 55099 records.
2026-09-23T16:43:27Z INFO [51/369] 11269669-52e3-4ee4-a79c-09f29df8da2f: 117 datasets; 0.7 s; peak memory 267 MiB.
2026-09-23T16:43:27Z INFO [52/369] 11269dbd-8def-4d2c-8565-91bcceadaf99: 38 datasets; 0.6 s; peak memory 267 MiB.
2026-09-23T16:43:28Z INFO [53/369] 1126a903-2e29-4a0c-b2e3-ef27cc7b7dae: 48 datasets; 0.6 s; peak memory 267 MiB.
2026-09-23T16:43:29Z INFO [54/369] 11271ebb-5fb1-423a-bb6d-106c5bb36dd0: 48 datasets; 0.7 s; peak memory 267 MiB.
2026-09-23T16:43:29Z INFO [55/369] 11273913-4e94-4501-b466-d5ec53a71e3c: 70 datasets; 0.6 s; peak memory 267 MiB.
2026-09-23T16:43:35Z INFO [56/369] 11277121-b52e-4d64-9450-4d8d2fce0311: 780 datasets; 6.2 s; peak memory 267 MiB.
2026-09-23T16:45:34Z INFO [57/369] 1127a7ce-bf3e-456c-80e3-c673121e7f5f: 269 datasets; 118.3 s; peak memory 271 MiB.
2026-09-23T16:45:34Z INFO [58/369] 1127d366-4639-4f2d-9332-d6df4f2c8d12: 112 datasets; 0.6 s; peak memory 271 MiB.
2026-09-23T16:45:35Z INFO [59/369] 112832b9-29b4-419b-9ac2-54a4a465de05: 118 datasets; 0.8 s; peak memory 271 MiB.
2026-09-23T16:45:36Z INFO [60/369] 112843ec-1fb6-4748-a09b-a8ae968fd095: 69 datasets; 1.0 s; peak memory 271 MiB.
2026-09-23T16:45:37Z INFO [61/369] 112889ef-33e4-4a18-9f0f-dbaab43f6d4f: 47 datasets; 0.6 s; peak memory 271 MiB.
2026-09-23T16:45:38Z INFO [62/369] 11290759-8d6b-422a-86c4-439c82c999ad: 66 datasets; 0.8 s; peak memory 271 MiB.
2026-09-23T16:45:38Z INFO [63/369] 112918dc-9772-47cf-961a-93479f74b0b5: 117 datasets; 0.9 s; peak memory 271 MiB.
2026-09-23T16:45:40Z INFO [64/369] 112a3380-89d0-407c-9884-0767c71372a3: 71 datasets; 1.5 s; peak memory 271 MiB.
2026-09-23T16:45:44Z INFO [65/369] 112b1603-e284-4fe9-94a0-408dd2307a38: 196 datasets; 4.3 s; peak memory 271 MiB.
