2026-09-25T11:36:59Z INFO Logging to /tmp/logs/update_2026-09-25T11-36-59Z.log.
2026-09-25T11:36:59Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-25T11:36:59Z INFO Processing 381 items (56910 already recorded).
2026-09-25T11:37:07Z INFO [1/381] 0067cb5b-7fee-42a2-b9ef-088496361431: 80 datasets; 7.5 s; peak memory 110 MiB.
2026-09-25T11:37:15Z INFO [2/381] 0a070021-3e71-4aed-857d-f083620feb92: 94 datasets; 8.6 s; peak memory 115 MiB.
2026-09-25T11:37:16Z INFO [3/381] 14cf7874-3ff7-484b-bab4-88f6b5cec289: 63 datasets; 0.6 s; peak memory 115 MiB.
2026-09-25T11:37:17Z INFO [4/381] 14cfc249-c943-4417-a279-98bbfb6d9a19: 72 datasets; 0.9 s; peak memory 115 MiB.
2026-09-25T11:37:27Z INFO [5/381] 14d09d83-d61b-4389-911a-c760259cc4e5: 890 datasets; 10.0 s; peak memory 149 MiB.
2026-09-25T11:37:27Z INFO [6/381] 14d1bd68-717d-490b-8019-6a8b420998fa: 33 datasets; 0.6 s; peak memory 149 MiB.
2026-09-25T11:37:29Z INFO [7/381] 14d252fd-cfd6-4733-b915-f494cc19fc53: 289 datasets; 1.0 s; peak memory 149 MiB.
2026-09-25T11:37:30Z INFO [8/381] 14d277f2-29ac-4344-b788-6dc9aab1e7a7: 70 datasets; 1.1 s; peak memory 149 MiB.
2026-09-25T11:37:30Z INFO [9/381] 14d29f34-507b-41b7-af35-1221ff412229: 119 datasets; 0.6 s; peak memory 149 MiB.
2026-09-25T11:37:31Z INFO [10/381] 14d40b73-fa98-4c11-b22c-26e74460757b: 203 datasets; 1.1 s; peak memory 149 MiB.
2026-09-25T11:37:32Z INFO [11/381] 14d4965b-40e4-436f-adfd-94000360559b: 112 datasets; 0.9 s; peak memory 149 MiB.
2026-09-25T11:37:33Z INFO [12/381] 14d5961f-31b8-4921-b814-911f04fcd925: 48 datasets; 0.7 s; peak memory 150 MiB.
2026-09-25T11:37:39Z INFO [13/381] 14d5b597-16b0-483e-a323-cf22eeca56d6: 9079 datasets; 5.6 s; peak memory 263 MiB.
2026-09-25T11:37:39Z INFO [14/381] 14d6015d-602a-4a2f-b54c-30dcc74c3d8d: 38 datasets; 0.6 s; peak memory 263 MiB.
2026-09-25T11:37:40Z INFO [15/381] 14d6527b-ac61-4686-9209-00e6d4dd182a: 46 datasets; 0.6 s; peak memory 263 MiB.
2026-09-25T11:39:06Z INFO [16/381] 14d68588-2dc4-4d0f-a1b8-ec655e95b932: 167 datasets; 86.0 s; peak memory 400 MiB.
2026-09-25T11:39:20Z INFO [17/381] 14d7ca55-ab1f-4ee7-90e5-b286178573b4: 48 datasets; 14.5 s; peak memory 400 MiB.
2026-09-25T11:39:24Z INFO [18/381] 14d8aa96-00d5-4267-9548-6bbfed1bc410: 627 datasets; 3.7 s; peak memory 400 MiB.
2026-09-25T11:39:25Z INFO [19/381] 14d8af72-f0b0-4e9d-a860-95d774a9903c: 48 datasets; 0.7 s; peak memory 400 MiB.
2026-09-25T11:39:25Z INFO [20/381] 14d8e5a0-a11d-4b4f-bf99-7f9c6dc48c61: 48 datasets; 0.7 s; peak memory 400 MiB.
2026-09-25T11:39:26Z INFO [21/381] 14d8efbf-891b-4a33-985d-ecca8f13834a: 112 datasets; 1.0 s; peak memory 400 MiB.
2026-09-25T11:39:28Z INFO [22/381] 14d97e46-c288-4005-a001-c87d261659f0: 110 datasets; 1.1 s; peak memory 400 MiB.
2026-09-25T11:39:28Z INFO [23/381] 14d9a0cf-b578-482b-a13f-35d2a3866f96: 47 datasets; 0.5 s; peak memory 400 MiB.
2026-09-25T11:39:40Z INFO [24/381] 14da00c8-b5d9-441b-ab33-df3b6975ff68: 522 datasets; 11.8 s; peak memory 400 MiB.
2026-09-25T11:39:43Z INFO [25/381] 14da47e8-72cf-4b8a-865c-4083f95696a7: 538 datasets; 3.0 s; peak memory 400 MiB.
2026-09-25T11:39:47Z INFO [26/381] 14da7540-cf62-4bb9-84e8-43c17c0108a6: 395 datasets; 3.8 s; peak memory 400 MiB.
