2026-09-25T16:59:45Z INFO Logging to /tmp/logs/update_2026-09-25T16-59-45Z.log.
2026-09-25T16:59:45Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-25T16:59:45Z INFO Processing 367 items (57291 already recorded).
2026-09-25T16:59:47Z INFO [1/367] 15935a7e-db89-4cee-96f0-b3f8d13bca38: 48 datasets; 1.6 s; peak memory 97 MiB.
2026-09-25T16:59:48Z INFO [2/367] 1593c542-a196-4956-956d-fd424e21bc40: 48 datasets; 1.2 s; peak memory 98 MiB.
2026-09-25T16:59:50Z INFO [3/367] 159413ce-417d-45ac-a342-82ef03bcaf8e: 59 datasets; 1.5 s; peak memory 99 MiB.
2026-09-25T16:59:51Z INFO [4/367] 15945566-cd24-49f0-b113-7331c6092018: 52 datasets; 1.4 s; peak memory 99 MiB.
2026-09-25T16:59:53Z INFO [5/367] 15948900-c46d-4692-9e68-5b4ff68e194b: 71 datasets; 1.6 s; peak memory 101 MiB.
2026-09-25T16:59:55Z INFO [6/367] 1594d265-4961-41e1-93f0-dcaaf1388924: 110 datasets; 1.9 s; peak memory 104 MiB.
2026-09-25T17:00:12Z INFO [7/367] 1595b681-22a1-41df-b963-6807f5a01d57: 851 datasets; 17.3 s; peak memory 145 MiB.
2026-09-25T17:00:13Z INFO [8/367] 1595d053-06d2-467a-a4de-3bd3fb46b87b: 112 datasets; 1.6 s; peak memory 146 MiB.
2026-09-25T17:00:28Z INFO [9/367] 1595ec93-3780-4381-99ed-f3983324b8ab: 882 datasets; 14.6 s; peak memory 146 MiB.
2026-09-25T17:00:29Z INFO [10/367] 1595ee58-187e-4a0b-a410-37c0e599776c: 48 datasets; 1.2 s; peak memory 147 MiB.
2026-09-25T17:00:31Z INFO [11/367] 1596d34d-57d7-46bc-a3e7-adcef943cb15: 71 datasets; 1.8 s; peak memory 147 MiB.
2026-09-25T17:00:34Z INFO [12/367] 159779b1-cc7f-42a8-b284-e9dadb46ac32: 116 datasets; 2.9 s; peak memory 147 MiB.
2026-09-25T17:00:35Z INFO [13/367] 1598daf0-46dc-49a2-a643-f39512cabd0d: 48 datasets; 1.2 s; peak memory 147 MiB.
2026-09-25T17:00:36Z INFO [14/367] 159950c6-ea78-4c33-9aa6-5835629d105f: 46 datasets; 1.0 s; peak memory 147 MiB.
